"Doctor Name","Hospital Name","Field","State","City","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Prakash Iyer","All India Institute of Medical Sciences (AIIMS) Mangaluru","Pulmonology","Karnataka","Mangaluru","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Manoj Mehta","Narayana Health Nashik","Oncology","Maharashtra","Nashik","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Varun Das","Fortis Hospital South Delhi","ENT","Delhi","South Delhi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Mohit Mehta","Government Medical College and Hospital, Tiruchirappalli","ENT","Tamil Nadu","Tiruchirappalli","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Prakash Gupta","St. Mary's Hospital South Delhi","Radiology","Delhi","South Delhi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Aditya Mishra","St. Mary's Hospital Lunglei","Neurology","Mizoram","Lunglei","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Rahul Khan","Holy Family Hospital Silvassa","Anesthesiology","Dadra and Nagar Haveli and Daman and Diu","Silvassa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Mohit Patel","City Life Hospital Belagavi","Rheumatology","Karnataka","Belagavi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Ravi Aggarwal","KIMS Hospital Kullu","Orthopedics","Himachal Pradesh","Kullu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Aakash Rao","Holy Family Hospital Ponda","Nephrology","Goa","Ponda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Meera Menon","City Life Hospital Jodhpur","Urology","Rajasthan","Jodhpur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Deepak Iyer","Max Super Speciality Hospital Nizamabad","Cardiology","Telangana","Nizamabad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Suresh Sharma","City Life Hospital Mokokchung","Anesthesiology","Nagaland","Mokokchung","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Anjali Mishra","All India Institute of Medical Sciences (AIIMS) Kavaratti","ENT","Lakshadweep","Kavaratti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Anjali Deshmukh","Max Super Speciality Hospital Mangaluru","Oncology","Karnataka","Mangaluru","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Suresh Dutta","District Civil Hospital, Bishnupur","Urology","Manipur","Bishnupur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Kiran Deshmukh","Greenview Hospital Patna","ENT","Bihar","Patna","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Manoj Singh","Manipal Hospital New Delhi","Dermatology","Delhi","New Delhi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Amit Dutta","KIMS Hospital Shillong","Cardiology","Meghalaya","Shillong","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Meera Patel","Government Medical College and Hospital, Tezpur","ENT","Assam","Tezpur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Suresh Joshi","St. Mary's Hospital Dibrugarh","Neurology","Assam","Dibrugarh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Dinesh Pandey","Aster DM Healthcare Silvassa","Internal Medicine","Dadra and Nagar Haveli and Daman and Diu","Silvassa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Tanvi Deshmukh","Holy Family Hospital Tawang","ENT","Arunachal Pradesh","Tawang","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Yash Bose","All India Institute of Medical Sciences (AIIMS) Chandigarh","ENT","Chandigarh","Chandigarh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Ishani Reddy","St. Mary's Hospital Agartala","Internal Medicine","Tripura","Agartala","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Rohan Reddy","Narayana Health Bhopal","Pediatrics","Madhya Pradesh","Bhopal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Aditya Aggarwal","Manipal Hospital East Delhi","Rheumatology","Delhi","East Delhi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Meera Shah","Fortis Hospital Kailasahar","Urology","Tripura","Kailasahar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
